id,X,Y,pososto,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,AVI,BI,DVI,EVI,IPVI,NDVI,NDWI,RENDVI,RVI,SI,forest_h,aspect,elevation,slope,lai,MAES_Name,land_cover
54701852,23.22767125,38.8545179,10,0.132575,0.059725,0.015675,0.0394625,0.0210625,0.0770625,0.23705,0.28155,0.281675,0.3042875,0.4153897,-1.4844258,0.2606125,0.5042218,0.9297107,0.8594214,-0.7531639,0.0848926,13.7407129,0.9745453,12.5,88.8289528,469.25,18.0907016,1.8124747,Mediterranean coniferous forests,mixed
55282098,24.36797021,40.94566247,74,0.122,0.059325,0.023625,0.042875,0.027,0.0704,0.180825,0.213625,0.23095,0.232525,0.3575821,-1.3066932,0.20395,0.419207,0.8948759,0.7897519,-0.6865663,0.122011,8.8454052,0.9687958,9,20.0050267,127.25,8.7074106,1.5048909,Mediterranean coniferous forests,forest
54562110,23.54966458,41.17174172,58,0.181325,0.09755,0.045175,0.06785,0.05565,0.112025,0.231675,0.265,0.2683,0.28825,0.3773675,-0.7728421,0.21265,0.4203203,0.8278147,0.6556293,-0.5962121,0.0719258,4.8428354,0.9437269,12,273.318161,565.75,22.5766602,1.5089188,Mediterranean coniferous forests,forest
56402116,25.71189596,40.9044929,76,0.1091,0.05325,0.026825,0.052125,0.036525,0.0912,0.199675,0.228675,0.23895,0.24965,0.3598383,-1.4158099,0.202425,0.4026645,0.8673477,0.7346955,-0.6417343,0.089469,6.5700101,0.9614515,13,257.2247314,298,23.7126656,1.44504,Mediterranean coniferous forests,forest
55602076,24.69489508,40.69548105,70,0.084175,0.0422625,0.017375,0.03175,0.0235625,0.0561625,0.1622875,0.1974375,0.192325,0.2103625,0.316431,-1.6340139,0.1687625,0.3505874,0.8909185,0.7818369,-0.7165343,0.0850261,8.2258565,0.9757526,13.75,189.9797516,972,16.4157867,1.256625,Mediterranean coniferous forests,forest
56522120,25.86053887,40.91726305,6,0.2333,0.140875,0.0557,0.08795,0.104475,0.1419,0.2124,0.238175,0.2475,0.257825,0.313759,-0.3059369,0.143025,0.2557155,0.7231246,0.4462491,-0.4900798,0.0748432,3.1387842,0.9169562,4,189.4812622,285.75,7.3978548,0.9133787,Mediterranean coniferous forests,forest
55602082,24.70747204,40.74860858,44,0.127275,0.063475,0.026575,0.0503,0.0324,0.08265,0.193325,0.2241,0.22585,0.24305,0.3481797,-1.1690931,0.19345,0.3959123,0.8746273,0.7492545,-0.6355622,0.0770841,7.0139945,0.9635209,14.25,266.9792671,369.5,11.7846894,1.4206108,Mediterranean coniferous forests,forest
55602084,24.71167082,40.76631655,80,0.18675,0.11265,0.042425,0.06385,0.057525,0.11185,0.21885,0.255725,0.25955,0.28425,0.3662752,-0.7327209,0.202025,0.3932061,0.8219049,0.6438098,-0.6066242,0.0864296,4.9342607,0.9453479,11,287.5074692,77.5,19.7697015,1.4108197,Mediterranean coniferous forests,forest
56042138,25.34118887,41.16521459,98,0.113175,0.05365,0.0240875,0.0510625,0.0360625,0.08825,0.1855,0.21135,0.2152,0.229975,0.3336869,-1.2166915,0.1791375,0.3580021,0.8565479,0.7130958,-0.6165888,0.0741193,5.9793079,0.9628657,12,116.0217628,205.75,16.2541137,1.2834517,Mediterranean coniferous forests,shrubland
56702156,26.15320462,41.2003462,34,0.137225,0.064075,0.02865,0.04605,0.03495,0.073125,0.188775,0.22815,0.228225,0.249225,0.3490282,-1.0793866,0.193275,0.3952135,0.8675013,0.7350027,-0.6642163,0.094554,6.8060772,0.9634219,8.75,56.384182,366,5.4026769,1.4180825,Mediterranean coniferous forests,forest
56802142,26.23716153,41.0577592,78,0.14195,0.07375,0.02895,0.049325,0.035325,0.085525,0.190675,0.22185,0.23835,0.241375,0.3600065,-1.0643855,0.203025,0.4116889,0.8710133,0.7420267,-0.6569921,0.1109412,6.8651265,0.9620948,6.25,217.5129738,113.75,10.5728346,1.4776905,Mediterranean coniferous forests,forest
56402130,25.74348907,41.02803028,48,0.1495625,0.0675875,0.0209625,0.0483625,0.0334125,0.087325,0.2291,0.270325,0.27135,0.2918625,0.3938814,-1.1203545,0.2379375,0.4495624,0.8832926,0.7665852,-0.6891083,0.0801554,8.70433,0.9656819,10,55.9290504,209,6.6397617,1.6147169,Mediterranean coniferous forests,mixed
56702150,26.13922729,41.14748658,38,0.1651125,0.0773375,0.02725,0.0471125,0.0305625,0.077625,0.2261375,0.2746875,0.26505,0.29635,0.3914165,-1.0065976,0.2344875,0.4704318,0.8951842,0.7903684,-0.6959981,0.0791723,8.8560823,0.9649848,7.5,86.154644,215.75,13.8480027,1.6902224,Mediterranean coniferous forests,forest
56742150,26.18589238,41.13979732,18,0.2168625,0.120875,0.0462,0.0765625,0.07005,0.1248125,0.2480875,0.28675,0.307075,0.3171,0.407332,-0.5942755,0.237025,0.4290695,0.815113,0.6302259,-0.60209,0.1061893,4.5074534,0.9356369,4.25,196.7904053,62,9.0462286,1.5405734,Mediterranean coniferous forests,shrubland
56722144,26.14859757,41.09078302,74,0.1445375,0.063325,0.0315375,0.05525,0.0339,0.0980125,0.26205,0.316225,0.319,0.3391,0.4445002,-1.4354111,0.2851,0.5542082,0.9037977,0.8075954,-0.7045656,0.0979502,9.4270861,0.9597109,17.25,311.7097855,355,16.0510917,1.9933252,Mediterranean coniferous forests,forest
56702146,26.12992704,41.1122436,88,0.1186875,0.0558,0.0266125,0.043325,0.0296625,0.071075,0.196875,0.2337125,0.241575,0.2556125,0.3675434,-1.3939095,0.2119125,0.4342962,0.8904863,0.7809725,-0.6955736,0.1024075,8.2668135,0.9667722,8.25,68.2839594,331.25,11.6490457,1.5594838,Mediterranean coniferous forests,forest
56742154,26.19523175,41.17503265,94,0.1575,0.08215,0.033425,0.0534,0.053775,0.09855,0.1744,0.20185,0.2169,0.229175,0.3222433,-0.7229185,0.163125,0.3163235,0.8013169,0.6026337,-0.6047228,0.1084935,4.0337921,0.9530858,9.25,177.2743912,249,6.1329896,1.1326585,Mediterranean coniferous forests,forest
56402134,25.75254705,41.06332096,98,0.1173125,0.057075,0.021625,0.0483125,0.0336375,0.08325,0.18245,0.20955,0.216625,0.2280125,0.337097,-1.1892514,0.1829875,0.3641528,0.865606,0.731212,-0.6353178,0.0856769,6.4448451,0.9654132,12.25,46.6961288,197,13.2798624,1.3057047,Mediterranean coniferous forests,shrubland
56782148,26.22787074,41.11447009,68,0.114425,0.0583875,0.0279125,0.0465125,0.035225,0.0799625,0.1779125,0.205275,0.21175,0.2250625,0.3302905,-1.2150932,0.176525,0.3635712,0.8571661,0.7143323,-0.6394414,0.0871661,6.0351673,0.9634189,6.25,151.2464447,182,23.5203118,1.3036007,Mediterranean coniferous forests,forest
